indice,ano,mes,variacao_mensal
IPCA-E,1994,1,0.39170000
IPCA-E,1994,2,0.39700000
IPCA-E,1994,3,0.43630000
IPCA-E,1994,4,0.41250000
IPCA-E,1994,5,0.44210000
IPCA-E,1994,6,0.44650000
IPCA-E,1994,7,0.05210000
IPCA-E,1994,8,0.05000000
IPCA-E,1994,9,0.01630000
IPCA-E,1994,10,0.01900000
IPCA-E,1994,11,0.02950000
IPCA-E,1994,12,0.02250000
IPCA-E,1995,1,0.01780000
IPCA-E,1995,2,0.01220000
IPCA-E,1995,3,0.01280000
IPCA-E,1995,4,0.01950000
IPCA-E,1995,5,0.02770000
IPCA-E,1995,6,0.02250000
IPCA-E,1995,7,0.02590000
IPCA-E,1995,8,0.01490000
IPCA-E,1995,9,0.00970000
IPCA-E,1995,10,0.01340000
IPCA-E,1995,11,0.01460000
IPCA-E,1995,12,0.01360000
IPCA-E,1996,1,0.01630000
IPCA-E,1996,2,0.01200000
IPCA-E,1996,3,0.00620000
IPCA-E,1996,4,0.00700000
IPCA-E,1996,5,0.01320000
IPCA-E,1996,6,0.01110000
IPCA-E,1996,7,0.01370000
IPCA-E,1996,8,0.00700000
IPCA-E,1996,9,0.00110000
IPCA-E,1996,10,0.00140000
IPCA-E,1996,11,0.00410000
IPCA-E,1996,12,0.00200000
IPCA-E,1997,1,0.01130000
IPCA-E,1997,2,0.00710000
IPCA-E,1997,3,0.00590000
IPCA-E,1997,4,0.00680000
IPCA-E,1997,5,0.00500000
IPCA-E,1997,6,0.00550000
IPCA-E,1997,7,0.00310000
IPCA-E,1997,8,0.00170000
IPCA-E,1997,9,-0.00050000
IPCA-E,1997,10,0.00250000
IPCA-E,1997,11,0.00070000
IPCA-E,1997,12,0.00490000
IPCA-E,1998,1,0.00540000
IPCA-E,1998,2,0.00640000
IPCA-E,1998,3,0.00390000
IPCA-E,1998,4,0.00220000
IPCA-E,1998,5,0.00410000
IPCA-E,1998,6,0.00340000
IPCA-E,1998,7,-0.00110000
IPCA-E,1998,8,-0.00370000
IPCA-E,1998,9,-0.00440000
IPCA-E,1998,10,0.00010000
IPCA-E,1998,11,-0.00110000
IPCA-E,1998,12,0.00130000
IPCA-E,1999,1,0.00680000
IPCA-E,1999,2,0.00640000
IPCA-E,1999,3,0.01220000
IPCA-E,1999,4,0.00780000
IPCA-E,1999,5,0.00510000
IPCA-E,1999,6,-0.00020000
IPCA-E,1999,7,0.00790000
IPCA-E,1999,8,0.00810000
IPCA-E,1999,9,0.00470000
IPCA-E,1999,10,0.00800000
IPCA-E,1999,11,0.00990000
IPCA-E,1999,12,0.00910000
IPCA-E,2000,1,0.00650000
IPCA-E,2000,2,0.00340000
IPCA-E,2000,3,0.00090000
IPCA-E,2000,4,0.00470000
IPCA-E,2000,5,0.00090000
IPCA-E,2000,6,0.00080000
IPCA-E,2000,7,0.00780000
IPCA-E,2000,8,0.01990000
IPCA-E,2000,9,0.00450000
IPCA-E,2000,10,0.00180000
IPCA-E,2000,11,0.00170000
IPCA-E,2000,12,0.00600000
IPCA-E,2001,1,0.00630000
IPCA-E,2001,2,0.00500000
IPCA-E,2001,3,0.00360000
IPCA-E,2001,4,0.00500000
IPCA-E,2001,5,0.00490000
IPCA-E,2001,6,0.00380000
IPCA-E,2001,7,0.00940000
IPCA-E,2001,8,0.01180000
IPCA-E,2001,9,0.00380000
IPCA-E,2001,10,0.00370000
IPCA-E,2001,11,0.00990000
IPCA-E,2001,12,0.00550000
IPCA-E,2002,1,0.00620000
IPCA-E,2002,2,0.00440000
IPCA-E,2002,3,0.00400000
IPCA-E,2002,4,0.00780000
IPCA-E,2002,5,0.00420000
IPCA-E,2002,6,0.00330000
IPCA-E,2002,7,0.00770000
IPCA-E,2002,8,0.01000000
IPCA-E,2002,9,0.00620000
IPCA-E,2002,10,0.00900000
IPCA-E,2002,11,0.02080000
IPCA-E,2002,12,0.03050000
IPCA-E,2003,1,0.01980000
IPCA-E,2003,2,0.02190000
IPCA-E,2003,3,0.01140000
IPCA-E,2003,4,0.01140000
IPCA-E,2003,5,0.00850000
IPCA-E,2003,6,0.00220000
IPCA-E,2003,7,-0.00180000
IPCA-E,2003,8,0.00270000
IPCA-E,2003,9,0.00570000
IPCA-E,2003,10,0.00660000
IPCA-E,2003,11,0.00170000
IPCA-E,2003,12,0.00460000
IPCA-E,2004,1,0.00680000
IPCA-E,2004,2,0.00900000
IPCA-E,2004,3,0.00400000
IPCA-E,2004,4,0.00210000
IPCA-E,2004,5,0.00540000
IPCA-E,2004,6,0.00560000
IPCA-E,2004,7,0.00930000
IPCA-E,2004,8,0.00790000
IPCA-E,2004,9,0.00490000
IPCA-E,2004,10,0.00320000
IPCA-E,2004,11,0.00630000
IPCA-E,2004,12,0.00840000
IPCA-E,2005,1,0.00680000
IPCA-E,2005,2,0.00740000
IPCA-E,2005,3,0.00350000
IPCA-E,2005,4,0.00740000
IPCA-E,2005,5,0.00830000
IPCA-E,2005,6,0.00120000
IPCA-E,2005,7,0.00110000
IPCA-E,2005,8,0.00280000
IPCA-E,2005,9,0.00160000
IPCA-E,2005,10,0.00560000
IPCA-E,2005,11,0.00780000
IPCA-E,2005,12,0.00380000
IPCA-E,2006,1,0.00510000
IPCA-E,2006,2,0.00520000
IPCA-E,2006,3,0.00370000
IPCA-E,2006,4,0.00170000
IPCA-E,2006,5,0.00270000
IPCA-E,2006,6,-0.00150000
IPCA-E,2006,7,-0.00020000
IPCA-E,2006,8,0.00190000
IPCA-E,2006,9,0.00050000
IPCA-E,2006,10,0.00290000
IPCA-E,2006,11,0.00370000
IPCA-E,2006,12,0.00350000
IPCA-E,2007,1,0.00520000
IPCA-E,2007,2,0.00460000
IPCA-E,2007,3,0.00410000
IPCA-E,2007,4,0.00220000
IPCA-E,2007,5,0.00260000
IPCA-E,2007,6,0.00290000
IPCA-E,2007,7,0.00240000
IPCA-E,2007,8,0.00420000
IPCA-E,2007,9,0.00290000
IPCA-E,2007,10,0.00240000
IPCA-E,2007,11,0.00230000
IPCA-E,2007,12,0.00700000
IPCA-E,2008,1,0.00700000
IPCA-E,2008,2,0.00640000
IPCA-E,2008,3,0.00230000
IPCA-E,2008,4,0.00590000
IPCA-E,2008,5,0.00560000
IPCA-E,2008,6,0.00900000
IPCA-E,2008,7,0.00630000
IPCA-E,2008,8,0.00350000
IPCA-E,2008,9,0.00260000
IPCA-E,2008,10,0.00300000
IPCA-E,2008,11,0.00490000
IPCA-E,2008,12,0.00290000
IPCA-E,2009,1,0.00400000
IPCA-E,2009,2,0.00630000
IPCA-E,2009,3,0.00110000
IPCA-E,2009,4,0.00360000
IPCA-E,2009,5,0.00590000
IPCA-E,2009,6,0.00380000
IPCA-E,2009,7,0.00220000
IPCA-E,2009,8,0.00230000
IPCA-E,2009,9,0.00190000
IPCA-E,2009,10,0.00180000
IPCA-E,2009,11,0.00440000
IPCA-E,2009,12,0.00380000
IPCA-E,2010,1,0.00520000
IPCA-E,2010,2,0.00940000
IPCA-E,2010,3,0.00550000
IPCA-E,2010,4,0.00480000
IPCA-E,2010,5,0.00630000
IPCA-E,2010,6,0.00190000
IPCA-E,2010,7,-0.00090000
IPCA-E,2010,8,-0.00050000
IPCA-E,2010,9,0.00310000
IPCA-E,2010,10,0.00620000
IPCA-E,2010,11,0.00860000
IPCA-E,2010,12,0.00690000
IPCA-E,2011,1,0.00760000
IPCA-E,2011,2,0.00970000
IPCA-E,2011,3,0.00600000
IPCA-E,2011,4,0.00770000
IPCA-E,2011,5,0.00700000
IPCA-E,2011,6,0.00230000
IPCA-E,2011,7,0.00100000
IPCA-E,2011,8,0.00270000
IPCA-E,2011,9,0.00530000
IPCA-E,2011,10,0.00420000
IPCA-E,2011,11,0.00460000
IPCA-E,2011,12,0.00560000
IPCA-E,2012,1,0.00650000
IPCA-E,2012,2,0.00530000
IPCA-E,2012,3,0.00250000
IPCA-E,2012,4,0.00430000
IPCA-E,2012,5,0.00510000
IPCA-E,2012,6,0.00180000
IPCA-E,2012,7,0.00330000
IPCA-E,2012,8,0.00390000
IPCA-E,2012,9,0.00480000
IPCA-E,2012,10,0.00650000
IPCA-E,2012,11,0.00540000
IPCA-E,2012,12,0.00690000
IPCA-E,2013,1,0.00880000
IPCA-E,2013,2,0.00680000
IPCA-E,2013,3,0.00490000
IPCA-E,2013,4,0.00510000
IPCA-E,2013,5,0.00460000
IPCA-E,2013,6,0.00380000
IPCA-E,2013,7,0.00070000
IPCA-E,2013,8,0.00160000
IPCA-E,2013,9,0.00270000
IPCA-E,2013,10,0.00480000
IPCA-E,2013,11,0.00570000
IPCA-E,2013,12,0.00750000
IPCA-E,2014,1,0.00670000
IPCA-E,2014,2,0.00700000
IPCA-E,2014,3,0.00730000
IPCA-E,2014,4,0.00780000
IPCA-E,2014,5,0.00580000
IPCA-E,2014,6,0.00470000
IPCA-E,2014,7,0.00170000
IPCA-E,2014,8,0.00140000
IPCA-E,2014,9,0.00390000
IPCA-E,2014,10,0.00480000
IPCA-E,2014,11,0.00380000
IPCA-E,2014,12,0.00790000
IPCA-E,2015,1,0.00890000
IPCA-E,2015,2,0.01330000
IPCA-E,2015,3,0.01240000
IPCA-E,2015,4,0.01070000
