indice,ano,mes,variacao_mensal
IPCA-E,1979,11,0.0662
IPCA-E,1979,12,0.0462
IPCA-E,1980,1,0.0604
IPCA-E,1980,2,0.0529
IPCA-E,1980,3,0.057
IPCA-E,1980,4,0.053099999999999994
IPCA-E,1980,5,0.0555
IPCA-E,1980,6,0.0495
IPCA-E,1980,7,0.042300000000000004
IPCA-E,1980,8,0.09480000000000001
IPCA-E,1980,9,0.0667
IPCA-E,1980,10,0.0661
IPCA-E,1980,11,0.0684
IPCA-E,1980,12,0.064
IPCA-E,1981,1,0.049699999999999994
IPCA-E,1981,2,0.0646
IPCA-E,1981,3,0.0556
IPCA-E,1981,4,0.0552
IPCA-E,1981,5,0.0626
IPCA-E,1981,6,0.055
IPCA-E,1981,7,0.0526
IPCA-E,1981,8,0.0508
IPCA-E,1981,9,0.0527
IPCA-E,1981,10,0.0593
IPCA-E,1981,11,0.0697
IPCA-E,1981,12,0.0664
IPCA-E,1982,1,0.0571
IPCA-E,1982,2,0.058899999999999994
IPCA-E,1982,3,0.0666
IPCA-E,1982,4,0.071
IPCA-E,1982,5,0.0636
IPCA-E,1982,6,0.059699999999999996
IPCA-E,1982,7,0.0508
IPCA-E,1982,8,0.0444
IPCA-E,1982,9,0.0529
IPCA-E,1982,10,0.0781
IPCA-E,1982,11,0.0864
IPCA-E,1982,12,0.0786
IPCA-E,1983,1,0.07339999999999999
IPCA-E,1983,2,0.0658
IPCA-E,1983,3,0.06480000000000001
IPCA-E,1983,4,0.09880000000000001
IPCA-E,1983,5,0.1008
IPCA-E,1983,6,0.0911
IPCA-E,1983,7,0.10300000000000001
IPCA-E,1983,8,0.08869999999999999
IPCA-E,1983,9,0.0738
IPCA-E,1983,10,0.0868
IPCA-E,1983,11,0.0967
IPCA-E,1983,12,0.095
IPCA-E,1984,1,0.0894
IPCA-E,1984,2,0.09539999999999998
IPCA-E,1984,3,0.09050000000000001
IPCA-E,1984,4,0.1008
IPCA-E,1984,5,0.09720000000000001
IPCA-E,1984,6,0.0935
IPCA-E,1984,7,0.1175
IPCA-E,1984,8,0.10439999999999999
IPCA-E,1984,9,0.10529999999999999
IPCA-E,1984,10,0.1198
IPCA-E,1984,11,0.1176
IPCA-E,1984,12,0.10869999999999999
IPCA-E,1985,1,0.1016
IPCA-E,1985,2,0.08199999999999999
IPCA-E,1985,3,0.07200000000000001
IPCA-E,1985,4,0.0849
IPCA-E,1985,5,0.10310000000000001
IPCA-E,1985,6,0.12050000000000001
