indice,ano,mes,variacao_mensal
SELIC,1986,6,0.17800000
SELIC,1986,6,0.18500000
SELIC,1986,6,0.18310000
SELIC,1986,6,0.18760000
SELIC,1986,6,0.18400000
SELIC,1986,6,0.18310000
SELIC,1986,6,0.18260000
SELIC,1986,6,0.18140000
SELIC,1986,6,0.18240000
SELIC,1986,6,0.18160000
SELIC,1986,6,0.18180000
SELIC,1986,6,0.18140000
SELIC,1986,6,0.18100000
SELIC,1986,6,0.18120000
SELIC,1986,6,0.18100000
SELIC,1986,6,0.18240000
SELIC,1986,6,0.18210000
SELIC,1986,6,0.18180000
SELIC,1986,6,0.18270000
SELIC,1986,7,0.18280000
SELIC,1986,7,0.18770000
SELIC,1986,7,0.20480000
SELIC,1986,7,0.23310000
SELIC,1986,7,0.23350000
SELIC,1986,7,0.23300000
SELIC,1986,7,0.23690000
SELIC,1986,7,0.23910000
SELIC,1986,7,0.23920000
SELIC,1986,7,0.23930000
SELIC,1986,7,0.23800000
SELIC,1986,7,0.23830000
SELIC,1986,7,0.23830000
SELIC,1986,7,0.23880000
SELIC,1986,7,0.23890000
SELIC,1986,7,0.23960000
SELIC,1986,7,0.24780000
SELIC,1986,7,0.24870000
SELIC,1986,7,0.24950000
SELIC,1986,7,0.25080000
SELIC,1986,7,0.25080000
SELIC,1986,7,0.25070000
SELIC,1986,7,0.25080000
SELIC,1986,8,0.25130000
SELIC,1986,8,0.25230000
SELIC,1986,8,0.25340000
SELIC,1986,8,0.25510000
SELIC,1986,8,0.26600000
SELIC,1986,8,0.32040000
SELIC,1986,8,0.37910000
SELIC,1986,8,0.37540000
SELIC,1986,8,0.38490000
SELIC,1986,8,0.38590000
SELIC,1986,8,0.39460000
SELIC,1986,8,0.39760000
SELIC,1986,8,0.39620000
SELIC,1986,8,0.39540000
SELIC,1986,8,0.39750000
SELIC,1986,8,0.39830000
SELIC,1986,8,0.39800000
SELIC,1986,8,0.39790000
SELIC,1986,8,0.39810000
SELIC,1986,8,0.39780000
SELIC,1986,8,0.39880000
SELIC,1986,9,0.39070000
SELIC,1986,9,0.39150000
SELIC,1986,9,0.39280000
SELIC,1986,9,0.39170000
SELIC,1986,9,0.39200000
SELIC,1986,9,0.39140000
SELIC,1986,9,0.39230000
SELIC,1986,9,0.39190000
SELIC,1986,9,0.39190000
SELIC,1986,9,0.39190000
SELIC,1986,9,0.39190000
SELIC,1986,9,0.39190000
SELIC,1986,9,0.39420000
SELIC,1986,9,0.39470000
SELIC,1986,9,0.39560000
SELIC,1986,9,0.39640000
SELIC,1986,9,0.39750000
SELIC,1986,9,0.39630000
SELIC,1986,9,0.39700000
SELIC,1986,9,0.39670000
SELIC,1986,9,0.39750000
SELIC,1986,9,0.39780000
SELIC,1986,10,0.18290000
SELIC,1986,10,0.19870000
SELIC,1986,10,0.21330000
SELIC,1986,10,0.23370000
SELIC,1986,10,0.23510000
SELIC,1986,10,0.23690000
SELIC,1986,10,0.24210000
SELIC,1986,10,0.24300000
SELIC,1986,10,0.24220000
SELIC,1986,10,0.24220000
SELIC,1986,10,0.24280000
SELIC,1986,10,0.24340000
SELIC,1986,10,0.24250000
SELIC,1986,10,0.24320000
SELIC,1986,10,0.24300000
SELIC,1986,10,0.24300000
SELIC,1986,10,0.24280000
SELIC,1986,10,0.24280000
SELIC,1986,10,0.24300000
SELIC,1986,10,0.24330000
SELIC,1986,10,0.24310000
SELIC,1986,10,0.24340000
SELIC,1986,10,0.25460000
SELIC,1986,11,0.32820000
SELIC,1986,11,0.33610000
SELIC,1986,11,0.33640000
SELIC,1986,11,0.33610000
SELIC,1986,11,0.33450000
SELIC,1986,11,0.33070000
SELIC,1986,11,0.32200000
SELIC,1986,11,0.32320000
SELIC,1986,11,0.32370000
